scene,key,condition,mean_margin_db,worst_margin_db,active_frames,total_frames,stoi,stoi_lag_samples
construction,background,unprocessed,2.6292688460161546,-20.970003450241094,8149,8156,,
construction,background,basic,1.934080608877435,-20.907682851936826,8149,8156,,
construction,background,advanced,1.9484452733078066,-20.69722407078193,8149,8156,,
construction,dialogue,unprocessed,-9.511699163899362,-40.79348773453372,5280,8156,0.39302771617815097,0
construction,dialogue,basic,-7.514241612901308,-40.788034937712254,5280,8156,0.43428256811940924,0
construction,dialogue,advanced,-7.48001453979551,-40.80844073025117,5280,8156,0.42576800572348134,0
construction,music,unprocessed,-11.333700105949163,-39.245218113742354,8146,8156,,
construction,music,basic,-11.817687825424127,-39.27364561078749,8146,8156,,
construction,music,advanced,-11.814760686730645,-39.32028689185589,8146,8156,,
construction,other,unprocessed,-0.6949799491288705,-24.34949246075807,6755,8156,,
construction,other,basic,-0.7675890442933117,-24.320228809771017,6755,8156,,
construction,other,advanced,-0.9047580959818522,-24.28149319343087,6755,8156,,
construction,safety,unprocessed,-17.60131955364656,-46.99524755542612,1727,8156,,
construction,safety,basic,-17.552634364825803,-46.98903874068661,1727,8156,,
construction,safety,advanced,-17.315274392535677,-46.6559331458259,1727,8156,,
publictransit,background,unprocessed,5.096846396300069,-16.089993147498316,8839,8839,,
publictransit,background,basic,8.15649312001312,-15.791093355438392,8839,8839,,
publictransit,background,advanced,8.332312920579641,-15.748067687355693,8839,8839,,
publictransit,dialogue,unprocessed,-13.442286061784607,-50.61500200279599,5915,8839,0.2712215905546189,0
publictransit,dialogue,basic,-11.773760827291383,-50.620174716830064,5915,8839,0.31221638830070364,0
publictransit,dialogue,advanced,-11.899191196774625,-50.59081634208645,5915,8839,0.3045694671515175,0
publictransit,music,unprocessed,-6.683878920579912,-28.220875603628173,8838,8839,,
publictransit,music,basic,-6.582684049840614,-28.1184534745097,8838,8839,,
publictransit,music,advanced,-6.570836394472246,-28.05211963896057,8838,8839,,
publictransit,other,unprocessed,-28.98582208032744,-50.87553925143939,4691,8839,,
publictransit,other,basic,-28.680553490034306,-50.82983520522649,4691,8839,,
publictransit,other,advanced,-28.677230723259996,-50.95187107319468,4691,8839,,
publictransit,safety,unprocessed,-9.852260787267317,-34.874949508651234,2325,8839,,
publictransit,safety,basic,-8.885710655071646,-35.16659083095475,2325,8839,,
publictransit,safety,advanced,-8.892191474344006,-35.00542162280335,2325,8839,,
